geneName,length,numberOfHits,mutsPerBase,dRatio,pRatio,elegansLocus,ma
WBGene00007063,3666,1,0.000272777,0.2787,2.125,-1,FALSE
WBGene00007064,8072,3,0.000371655,0.03388,0.4,15274381,TRUE
WBGene00003525,3937,1,0.000254001,0.03382,1,-1,FALSE
WBGene00007067,3032,1,0.000329815,0.04855,1.083333333,-1,FALSE
WBGene00004964,1490,1,0.000671141,0.07236,0.833333333,-1,FALSE
WBGene00005532,1366,1,0.000732064,0.05914,3.5,-1,FALSE
WBGene00007070,1940,1,0.000515464,0.09751,1.357142857,-1,FALSE
WBGene00000024,1486,1,0.000672948,0.0675,1.333333333,-1,FALSE
WBGene00007071,4978,1,0.000200884,0.07325,1.2,-1,FALSE
WBGene00000724,1692,1,0.000591017,0.1372,1.714285714,-1,FALSE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
