geneID,promoterGeneID,distance,strand,locus
WBGene00021678,WBGene00000812,-1918,1,68202
WBGene00021684,WBGene00006599,-3344,1,86868
WBGene00018771,WBGene00020798,-4122,1,142547
WBGene00000253,WBGene00020798,8848,1,155517
WBGene00021666,WBGene00021124,-585,-1,208489
WBGene00021671,WBGene00019819,-7474,1,237592
WBGene00021673,WBGene00019819,6614,1,251680
WBGene00016902,WBGene00021983,-4479,-1,291570
WBGene00016902,WBGene00021983,1926,-1,297975
WBGene00022035,WBGene00001814,9133,1,499086
