geneID,promoterGeneID,distance,strand,locus
WBGene00021678,WBGene00021042,5930,-1,68202
WBGene00021684,WBGene00018795,-507,-1,86868
WBGene00018771,WBGene00020541,1247,-1,142547
WBGene00000253,WBGene00020546,-1295,-1,155517
WBGene00000253,WBGene00020546,2163,-1,158975
WBGene00004225,WBGene00006561,-7150,1,171651
WBGene00021666,WBGene00017082,-4271,-1,208489
WBGene00021671,WBGene00019817,-2904,-1,237592
WBGene00021673,WBGene00019824,-3978,-1,251680
WBGene00016902,WBGene00016905,2384,-1,291570
