geneID,promoterGeneID,distance,strand,locus
WBGene00021684,WBGene00015246,-3344,-1,86868
WBGene00016902,WBGene00045177,3251,-1,291570
WBGene00016902,WBGene00045177,9656,-1,297975
WBGene00006593,WBGene00019744,1539,1,451427
WBGene00006593,WBGene00019744,8383,1,458271
WBGene00022035,WBGene00022034,-7261,1,499086
WBGene00007009,WBGene00017898,8419,-1,544990
WBGene00020281,WBGene00000677,8996,-1,772900
WBGene00022386,WBGene00022502,8856,1,886004
WBGene00220217,WBGene00022390,9979,-1,906054
